,title,price,description,date_posted,address,url
10,*NEW* Apple Watch SE midnight 40mm,$300,"Apple Watch SE Midnight 40mm non cellular packaging opened but never used, protective plastic still on the Watch itself never taken off.
",2022-11-03,"Edmonton, AB T5A0T5",https://www.kijiji.ca/v-jewelry-watch/edmonton/new-apple-watch-se-midnight-40mm/1639224031
11,*NEW* Apple Watch SE Silver/white 40mm ,$300,"Apple Watch SE Silver/white 40mm non cellular.
Outside package opened, both inside packages still sealed. (Unused) ",2022-11-03,"Edmonton, AB T5A0T5",https://www.kijiji.ca/v-jewelry-watch/edmonton/new-apple-watch-se-silver-white-40mm/1639223754
12,Samsung Galaxy Watch 4 44 mm Montre Smart,280 $,"Couleur: Noir
Condition: plusieurs grafignes sur le contour de la montre (voir photo)
Chargeur inclus
",2022-11-03,"Montréal, QC H2M1R7",https://www.kijiji.ca/v-bijoux-montre/ville-de-montreal/samsung-galaxy-watch-4-44-mm-montre-smart/1639223699
13,GUCCI WATCH BRAND NEW ,900 $,"Comes with packaging and box, and BAG
Includes Extra pieces to adjust to your wrist
Pink face
New, never wore it. ",2022-11-03,"Montreal, QC H1E1Z3",https://www.kijiji.ca/v-bijoux-montre/ville-de-montreal/gucci-watch-brand-new/1639223688
14,Montre Fossil/Fossil watch size small,20 $,"Montre fossil/ fossil watch
Excellent condition",2022-11-03,"Montréal, Saint-Laurent, QC H4L",https://www.kijiji.ca/v-bijoux-montre/ville-de-montreal/montre-fossil-fossil-watch-size-small/1618162101
15,Fossil watch/Montre Fossil,45 $,Fossil watch/montre fossil,2022-11-03,"Montréal, Saint-Laurent, QC H4L",https://www.kijiji.ca/v-bijoux-montre/ville-de-montreal/fossil-watch-montre-fossil/1618162123
16,Samsung Galaxy Watch • LTE • Rotating Bezel,$140,"42mm Rose Gold with Wireless Charger.
Rotating Bezel. Black Silicone Strap.Super AMOLED Display under Gorilla Glass DX+Wi-Fi, Bluetooth.
You can get also get a 4G LTE Smartwatch mobile plan from Telus & Bell.The battery is still good, but now needs to be charged every 2nd day.Sensors:
Accelerometer, Barometer, Gyro, Heart Rate, LightPickup Only by 97 St & 167 Ave (North Edmonton)Thanks.",2022-11-03,"Edmonton, AB T5Z 3P3",https://www.kijiji.ca/v-jewelry-watch/edmonton/samsung-galaxy-watch-lte-rotating-bezel/1639223202
17,Nixon Regulus Watch - All Black Model,,"Good condition, no problems
Bought for $270 1 year ago
Still has 1 year of warranty remaining
$160 or best offer
Great watch!!
Msg or call 3O6-22O-64O3 with any questions
Watch is located in Saskatoon, Lawson Heights
Thanks",2022-11-03,"Saskatoon, SK S7K0B6",https://www.kijiji.ca/v-jewelry-watch/saskatoon/nixon-regulus-watch-all-black-model/1639223091
18,Vintage Women's Dugena Watch,$295,"Here is a good looking, operating, German, Dugen Women's Watch. Thought to be from the 50's era. It has a stretch band, and the face measures about 1.4cm square. It is a wind up watch, so no batteries and it works well and keeps good time.
It has engraved on the back of the watch:
WALZGOLD-DOUBLE
20 MIKRON
EDELSTAHL-BODEN
DUGENA
Here is a little history on the company:
The name ""Dugena"" is one of Germany's most famous watch brands. The roots of the company lie in Switzerland, namely with the Swiss watchmaker association Corporation d'Horlogers Suisse, which was founded in 1883 by Gottlieb Hauser. This was called Union Horlogère from 1901 and presented itself at this time with the brand name Alpina, which was first used as the name of a proprietary caliber.
During World War II, the Allies prohibit the Union Horlogère to continue to market in Germany under the name ""Alpina"". Therefore, 1942 in Berlin it is decided to rename Alpina into ""DUGENA - Deutsche Uhrmacher-Genossenschaft Alpina"" (German watchmaking cooperative Alpina). As a unique trademark the circle in the triangle is chosen, under which the new brand achieves a high level of awareness.",2022-11-03,"Stratford, ON N5A 7T4",https://www.kijiji.ca/v-jewelry-watch/stratford-on/vintage-womens-dugena-watch/1581334257
19,Luxury Brand Watch for Sale - Actual Pictures!,$250,"See specs below:
- 40mm stainless steel case w/ bidirectional rotatable bezel
- 'Intense' black dial with silver inlay on index markers
- Branding and serial #'s engraved on rehaut
- Luminous hands and index markers
- 2813 automatic movement with date wheel and sweeping hand)
- Sapphire crystal with cyclops lens
- Adjustable oysterflex strap with with micro-adjustable clasp
Have a look at my other listed watches on Kijiji, or check out my instagram @WatchBirdCan for more pictures and pricing.
**** Free 3-day shipping (W/ tracking) Canada wide.",2022-11-03,"Mississauga, ON L5L",https://www.kijiji.ca/v-jewelry-watch/oakville-halton-region/luxury-brand-watch-for-sale-actual-pictures/1639222886
20,Armani watch with box ,$120,"Very gently used watch
Bought 8 months ago
Upgrading to Apple Watch
Pick milton or Waterloo ",2022-11-03,"Waterloo, ON N2L3C5",https://www.kijiji.ca/v-jewelry-watch/kitchener-waterloo/armani-watch-with-box/1639222745
21,Apple Watch Series 3 Nike +,$125,"Has some scratches but works great.
Comes with a a charger. Pick up in flour mill.",2022-11-03,"Greater Sudbury, ON P3C2V7",https://www.kijiji.ca/v-jewelry-watch/sudbury/apple-watch-series-3-nike/1639222686
22,"IWC Big Pilot 43 - Blue Dial IW329303 - $8,750","$8,750","IWC Big Pilot 43mm Blue Dial IW329303. This amazing watch was worn less than 5 times, and barely enjoyed! I am a watch collector and have had this amazing piece sitting in the safe since purchased. It comes with its original IWC packaging, manuals, and warranty certificate card .
This watch was purchased new in March 2022. It has no signs of wear, zero dents and zero scratches. It is in like-new condition.The watch retails for $11,500 + GST. I am pricing mine for a low price and taking a big hit in an exchange for a quick sell to cover the costs of an unplanned emergency.This IWC comes with an international warranty until March 2030.Low ball offers will be deleted and ignored.",2022-11-03,"Calgary, AB T3M 0X1",https://www.kijiji.ca/v-jewelry-watch/calgary/iwc-big-pilot-43-blue-dial-iw329303-8-750/1639222486
23,Wanted: Get Paid Maximum Cash Value For Your Luxury Watch - 24/7 hr,"$100,500","Would you like to sell your Rolex or luxury watch faster, safer, and for more money?Forget about the low-ballers and flakes or meet strangers in public wearing an expensive watch. Toronto based Watch Company pays you up to 90% of RETAIL for your Breitling, Rolex, Audemars, Nardin, Ulysse, Hublot, and other luxury watches. Reliable, secure, and guaranteed.Our process is simple. Contact us. We check the authenticity of your watches and you decide how you would prefer to be paid. Options include cash, Paypal, or e-transferDo you want to arrange it all online now? Go to watchcash[dot]com
- you will have a firm offer in 4 hours!G9",2022-11-03,"Edmonton, AB T5J",https://www.kijiji.ca/v-jewelry-watch/edmonton/get-paid-maximum-cash-value-for-your-luxury-watch-24-7-hr/1639222353
24,Luxury Brand Watch for Sale - Actual Pictures! ,$275,"See specs below:
- 40mm case (1:1 with original)
- 2813 automatic movement (with sweeping second hand)
- ceramic rotatable ""Rootbeer"" bezel
- Oystersteel bracelet (w/rose gold center links) & micro-adjustable clasp
- 904L steel (like original)
- sapphire glass w/ cyclops lens
- luminescent index markers with gold inlay
- fully operational 4th world-timer hand
This is the only one of these currently in my inventory. Have look at my other listed watches on Kijiji, or check out my instagram @WatchBirdCan for more pictures and pricing.
Free 3-day shipping (with tracking) Canada wide",2022-11-03,"Mississauga, ON L5L",https://www.kijiji.ca/v-jewelry-watch/oakville-halton-region/luxury-brand-watch-for-sale-actual-pictures/1639222158
25,Vintage Pulsar Quartz Movt Japan Ladies Watch,$40,Vintage Pulsar Quartz Movt Japan Ladies Watch. Needs new battery. Original owner.Email with your contact number. Available.,2022-11-03,"Vancouver, BC V5X 1Y3",https://www.kijiji.ca/v-jewelry-watch/richmond-bc/vintage-pulsar-quartz-movt-japan-ladies-watch/1524658544
26,Ladies' Citizen Eco-Drive® Silhouette Stainless Steel Watch,$100,Ladies' Citizen Eco-Drive® Silhouette Stainless Steel Watch with Crystal Accents. Will need a new battery. Original owner.Email with your contact number.,2022-11-03,"Vancouver, BC V5X 1Y3",https://www.kijiji.ca/v-jewelry-watch/richmond-bc/ladies-citizen-eco-drive-silhouette-stainless-steel-watch/1524619305
27,Vintage Armitron Deauville Diamond Quartz Women's Watch,$50,Vintage Armitron Deauville Diamond Quartz Women's Watch. In good condition and will need a new battery. Original owner.Email with your contact number. Available.,2022-11-03,"Vancouver, BC V5X 1Y3",https://www.kijiji.ca/v-jewelry-watch/richmond-bc/vintage-armitron-deauville-diamond-quartz-womens-watch/1524624649
28,Jones New York Watch (Water 100 resist),$30,Jones New York Watch water 100 resist. In excellent condition and will need new battery. Private sale.Email with your contact number. Available.,2022-11-03,"Vancouver, BC V5X 1Y3",https://www.kijiji.ca/v-jewelry-watch/richmond-bc/jones-new-york-watch-water-100-resist/1524613672
29,Apple Watch Series 6 as new 40mm GPS blue,$285,"Includes original packaging and accessories. No wear or scratch. As new.
Not lte version.
Price is firm at $285.
Tag 5, 7, 8, ultra",2022-11-03,"Richmond Hill, ON L4S1C4",https://www.kijiji.ca/v-jewelry-watch/markham-york-region/apple-watch-series-6-as-new-40mm-gps-blue/1639221593
30,Wanted: Need Money? We will buy your Luxury Watch - Time is Money,"$100,500","Are you need urgent cash? Do you want to make money by selling your luxury watch? Look no further. Toronto based watch company will pay you up to 90% of your Retail price for your Rolex, Nardin, Breitling, Audemars, Ulysse, Hublot, and any other luxury watches. Forget about the low-ballers and flakes or meet strangers in public wearing an expensive watch. Reliable, secure, and guaranteed.Our process is simple. Contact us. We check the authenticity of your watches and you decide how you would prefer to be paid. Options include cash, PayPal, or e-transfer.Do you want to arrange it all online now? Go to watchcash[dot]com
- you will have a firm offer in 4 hours! G9",2022-11-03,"Calgary, AB T2P",https://www.kijiji.ca/v-jewelry-watch/calgary/need-money-we-will-buy-your-luxury-watch-time-is-money/1639221571
31,,,,,,https://www.kijiji.ca/v-jewelry-watch/calgary/fossil-watch-roll/1639221497
32,,,,,,https://www.kijiji.ca/v-jewelry-watch/cornwall-on/samsung-gear-s2-classic/1639221397
33,,,,,,https://www.kijiji.ca/v-jewelry-watch/edmonton/45mm-apple-watch-series-7-cellular-lte-graphite-stainless-steel/1639221377
34,,,,,,https://www.kijiji.ca/v-jewelry-watch/calgary/michael-kors-watch/1639221367
35,,,,,,https://www.kijiji.ca/v-jewelry-watch/calgary/fossil-watch/1639221039
36,,,,,,https://www.kijiji.ca/v-jewelry-watch/calgary/invicta-mens-watch/1639220944
37,,,,,,https://www.kijiji.ca/v-jewelry-watch/calgary/fossil-machine-watch/1639220889
38,,,,,,https://www.kijiji.ca/v-jewelry-watch/hamilton/al-agnew-pocket-watch/1639220673
39,,,,,,https://www.kijiji.ca/v-bijoux-montre/ville-de-montreal/brand-new-orient-japanese-watch/1639220313
40,,,,,,https://www.kijiji.ca/v-jewelry-watch/mississauga-peel-region/samsung-galaxy-watch-4-classic-like-new-42mm-gps-boxed-etc/1639219989
